"id"|"cod_parent"|"nombre_examen"|"tipo_examen"|"habilitado"|"sub_tipo"|"codigo"|"algo"
147|122|"TIROESTIMULANTE (TSH),"|25|1|2|303024|"NULL"
148|122|"TIROGLOBULINA "|26|1|2|303025|"NULL"
149|122|"TIROXINA LIBRE (T4L) "|27|1|2|303026|"NULL"
150|122|"TIROXINA O TETRAYODOTIRONINA (T4) "|28|1|2|303027|"NULL"
151|122|"TRIYODOTIRONINA (T3) "|29|1|2|303028|"NULL"
152|122|"17 - HIDROXIPROGESTERONA "|30|1|2|303029|"NULL"
153|122|"ESTRADIOL (17-BETA) "|31|1|2|303030|"NULL"
154|122|"CATECOLAMINAS EN SANGRE"|32|1|2|303049|"NULL"
156|4|"GENETICA"|4|1|1|"NULL"|"NULL"
157|4|"INMUNOLOGIA"|5|1|1|"NULL"|"NULL"
158|156|"CARIOGRAMA EN SANGRE POR CULTIVO DE LINFOCITOS"|1|1|2|304001|"NULL"
159|156|"CARIOGRAMA CON TECNICAS ESPECIALES"|2|1|2|304002|"NULL"
160|156|"CARIOGRAMA EN FIBROBLASTOS POR CULTIVO DE TROFOBLASTO, "|3|1|2|304003|"NULL"
161|156|"FISH CROMOSOMAS X E Y "|4|1|2|304006|"NULL"
162|156|"DIAGNOSTICO GENETICO MOLECULAR: DISPLASIA TANATOFORICA TIPO I Y II"|5|1|2|304007|"NULL"
163|157|"ALFA -1- ANTITRIPSINA CUANTITATIVA "|1|1|2|305001|"NULL"
164|157|"ALFA -2- MACROGLOBULINA "|2|1|2|305002|"NULL"
165|157|"ALFA FETOPROTEINAS "|3|1|2|305003|"NULL"
166|157|"TAMIZAJE DE ANTICUERPOS ANTI ANTIGENOS NUCLEARES"|4|1|2|305004|"NULL"
167|157|"ANTICUERPOS ANTINUCLEARES (ANA), ANTIMITOCONDRIALES,"|5|1|2|305005|"NULL"
168|157|"ANTICUERPOS ESPECIFICOS Y OTROS AUTOANTICUERPOS "|6|1|2|305007|"NULL"
169|157|"ANTIESTREPTOLISINA O, POR TECNICA DE LATEX "|7|1|2|305008|"NULL"
170|157|"ANTIGENO CARCINOEMBRIONARIO (CEA) "|8|1|2|305009|"NULL"
171|157|"ANTIGENO PROSTATICO ESPECIFICO "|9|1|2|305070|"NULL"
172|157|"ANTIGENO CA 125, CA 15-3 Y CA 19-9"|10|1|2|305170|"NULL"
173|157|"BETA-2-MICROGLOBULINA "|11|1|2|305010|"NULL"
174|157|"COMPLEMENTO C1Q, C2, C3, C4, ETC."|12|1|2|305012|"NULL"
175|157|"COMPLEMENTO HEMOLITICO (CH 50)"|13|1|2|305013|"NULL"
176|157|"CRIOGLOBULINAS, PRECIPITACION EN FRIO "|14|1|2|305014|"NULL"
177|157|"FACTOR REUMATOIDEO POR TECNICA DE LATEX"|15|1|2|305019|"NULL"
178|157|"FACTOR REUMATOIDEO POR TECNICA DE SCAT, WAALER ROSE, "|16|1|2|305020|"NULL"
179|157|"INHIBIDOR DE C1Q, C2 Y C3,"|17|1|2|305021|"NULL"
180|157|"INMUNOFIJACION DE INMUNOGLOBULINA"|18|1|2|305025|"NULL"
181|157|"INMUNOGLOBULINA IGA SECRETORA "|19|1|2|305026|"NULL"
182|157|"INMUNOGLOBULINAS IGA, IGG, IGM"|20|1|2|305027|"NULL"
183|157|"INMUNOGLOBULINAS IGE, IGD TOTAL"|21|1|2|305028|"NULL"
184|157|"INMUNOGLOBULINAS IGE, IGG ESPECIFICAS,"|22|1|2|305029|"NULL"
185|157|"PROTEINA C REACTIVA POR TECNICA DE LATEX"|23|1|2|305030|"NULL"
186|157|"PROTEINA C REACTIVA POR TECNICAS AUTOMATIZADAS "|24|1|2|305031|"NULL"
187|157|"QUIMIOTAXIS-LEUCOTAXIS"|25|1|2|305034|"NULL"
188|157|"ANTICUERPO ANTIENDOMISIO (EMA, ANTIMEMBRANA BASAL "|26|1|2|305081|"NULL"
189|157|"ANTICUERPOS ANTITRANSGLUTAMINASA (TTG) "|27|1|2|305181|"NULL"
190|157|"ANTICUERPOS ANTICITOPLASMA DE NEUTROFILOS"|28|1|2|305082|"NULL"
191|157|"DETERMINACION DE ISOTIPOS DE ANTICUERPOS ANTICITOPLASMA "|29|1|2|305083|"NULL"
192|157|"ANTICUERPOS ANTICARDIOLIPINAS POR ELISA (ISOTIPOS G-M-A), "|30|1|2|305084|"NULL"
193|157|"ANTICUERPOS ANTI LKM-1 "|31|1|2|305085|"NULL"
194|157|"ANTICUERPOS CONTRA PEPTIDOS DEAMINADOS DE GLIADINA IGG E IGA"|32|1|2|305086|"NULL"
195|157|"DETECCION, IDENTIFICACION Y TITULACION DE CRIOAGLUTININAS "|33|1|2|305035|"NULL"
196|157|"CRIOHEMOLISINAS"|34|1|2|305036|"NULL"
197|157|"DIGESTION FAGOCITICA NITROBLUE-TETRAZOLIUM CUALITATIVO Y CUANTITATIVO "|35|1|2|305037|"NULL"
198|157|"FAGOCITOSIS: INGESTION Y DIGESTION (KILLING) DE LEVADURAS "|36|1|2|305038|"NULL"
199|157|"FAGOCITOSIS: INGESTION Y DIGESTION (KILLING) DE BACTERIAS "|37|1|2|305039|"NULL"
200|157|"INMUNOADHERENCIA DE LEUCOCITOS MACROFAGOS "|38|1|2|305040|"NULL"
201|157|"INTRADERMOREACCION (PPD, HISTOPLASMINA, ASPERGILINA"|39|1|2|305041|"NULL"
202|157|"ESTUDIO PARA HIPERSENSIBILIDAD RETARDADA "|40|1|2|305080|"NULL"
203|157|"LIF O MIF "|41|1|2|305042|"NULL"
204|157|"LINFOCITOS B (ROSETAS EAC) Y LINFOCITOS T"|42|1|2|305044|"NULL"
205|157|"LINFOTOXINAS HUMANAS, DETECCION DE "|43|1|2|305047|"NULL"
206|157|"TRANSFORMACION LINFOBLASTICA A DROGAS, "|44|1|2|305049|"NULL"
207|157|"LINFOCITOS B TOTALES (CD19). TECNICA CITOMETRIA DE FLUJO "|45|1|2|305089|"NULL"
208|157|"LINFOCITOS T (CD3, CD4, CD8). TECNICA CITOMETRIA DE FLUJO "|46|1|2|305091|"NULL"
209|157|"NATURAL KILLERS (CD16, CD 56). TECNICA CITOMETRIA DE FLUJO "|47|1|2|305092|"NULL"
210|157|"ANTICUERPOS LINFOCITOTOXICOS (PRA) "|48|1|2|305052|"NULL"
211|157|"AUTOCROSSMATCH CON LINFOCITOS T Y B "|49|1|2|305053|"NULL"
212|157|"ALOCROSSMATCH CON LINFOCITOS TOTALES "|50|1|2|305056|"NULL"
213|157|"ALOCROSSMATCH CON LINFOCITOS T Y B "|51|1|2|305057|"NULL"
214|157|"CULTIVO MIXTO DE LINFOCITOS "|52|1|2|305058|"NULL"
215|157|"TIPIFICACION HLA B-27. "|53|1|2|305060|"NULL"
216|157|"TIPIFICACION HLA - DR SEROLOGICA "|54|1|2|305062|"NULL"
217|157|"IPIFICACION HLA - A, B SEROLOGICA "|55|1|2|305063|"NULL"
218|157|"SEROTECA Y MANTENCION EN LA BASE A RECEPTORES CADAVER "|56|1|2|305064|"NULL"
219|157|"ANTICUERPOS LINFOCITOTOXICOS "|57|1|2|305087|"NULL"
220|157|"ESPECIFICIDAD DE ANTICUERPOS. "|58|1|2|305088|"NULL"
221|0|"MICROBIOLOGIA"|1|1|0|"NULL"|"NULL"
222|221|"BACTERIAS Y HONGOS"|1|1|1|"NULL"|"NULL"
223|222|"BACILOSCOPIA POR METODO DE CONCENTRACION "|1|1|2|306001|"NULL"
224|222|"BACILOSCOPIA ZIEHL-NEELSEN"|2|1|2|306002|"NULL"
225|222|"EXAMEN DIRECTO AL FRESCO, C/S TINCION (INCLUYE TRICHOMONAS)"|3|1|2|306004|"NULL"
226|222|"TINCION DE GRAM"|4|1|2|306005|"NULL"
227|222|"ULTRAMICROSCOPIA"|5|1|2|306006|"NULL"
228|222|"COPROCULTIVO"|6|1|2|306007|"NULL"
229|222|"CULTIVO CORRIENTE"|7|1|2|306008|"NULL"
230|222|"HEMOCULTIVO AEROBICO AUTOMATIZADO CON ANTIBIOGRAMA "|8|1|2|306092|"NULL"
231|222|"HEMOCULTIVO AUTOMATIZADO PARA MICOBACTERIAS "|9|1|2|306093|"NULL"
232|222|"CULTIVO PARA ANAEROBIOS"|10|1|2|306012|"NULL"
233|222|"CULTIVO PARA BORDETELLA"|11|1|2|306013|"NULL"
234|222|"CULTIVO PARA CAMPYLOBACTER, YERSINIA,"|12|1|2|306014|"NULL"
235|222|"NEISSERIA GONORRHOEAE (GONOCOCO) "|13|1|2|306016|"NULL"
236|222|"CULTIVO PARA LEVADURAS "|14|1|2|306017|"NULL"
237|222|"CULTIVO PARA HONGOS FILAMENTOSOS "|15|1|2|306117|"NULL"
238|222|"CULTIVO PARA MICOBACTERIAS (INCLUYE BACILO DE KOCH) "|16|1|2|306018|"NULL"
239|222|"CULTIVO PARA LEGIONELLA "|17|1|2|306019|"NULL"
240|222|"CULTIVO Y TIPIFICACION DE MICOBACTERIAS "|18|1|2|306022|"NULL"
241|222|"CULTIVO MYCOPLASMA Y UREAPLASMA"|19|1|2|306023|"NULL"
242|222|"ANTIBIOGRAMA BACILO DE KOCH (CADA FARMACO) "|20|1|2|306025|"NULL"
243|222|"ANTIBIOGRAMA CORRIENTE (MINIMO 10"|21|1|2|306026|"NULL"
244|222|"ANTIBIOGRAMA DE ESTUDIO DE SENSIBILIDAD POR DILUCION (CIM) "|22|1|2|306027|"NULL"
245|222|"ANTIFUNGIGRAMA (MINIMO 4 FARMACOS"|23|1|2|306028|"NULL"
246|222|"TEST RAPIDO DE DETECCION DE STREPTOCOCCUS. "|24|1|2|306090|"NULL"
247|222|"BRUCELLA ABORTUS, MELITENSIS Y SUIS,"|25|1|2|306033|"NULL"
248|222|"CLAMIDIAS POR INMUNOFLUORESCENCIA, PEROXIDASA"|26|1|2|306034|"NULL"
249|222|"MONONUCLEOSIS, REACCION DE PAUL BUNNELL, ANTICUERPOS HETEROFILOS O SIMILARES "|27|1|2|306036|"NULL"
250|222|"MYCOPLASMA IGG, IGM, C/U."|28|1|2|306037|"NULL"
251|222|"R.P.R. "|29|1|2|306038|"NULL"
252|222|"TIFICAS, REACCIONES DE AGLUTINACION (EBERTH H Y O, "|30|1|2|306039|"NULL"
253|222|"TREPONEMA PALLIDUM FTA - ABS, MHA-TP C/U "|31|1|2|306041|"NULL"
254|222|"V.D.R.L. "|32|1|2|306042|"NULL"
255|222|"ANTIGENO GALACTOMANANO "|33|1|2|306094|"NULL"
256|221|"PARASITOS"|2|1|1|"NULL"|"NULL"
257|256|"ARTROPODOS MACROSCOPICOS Y MICROSCOPICOS"|1|1|2|306043|"NULL"
258|256|"COPROPARASITARIO SERIADO CON TECNICA PARA CRYPTOSPORIDIUM "|2|1|2|306045|"NULL"
259|256|"COPROPARASITARIO SERIADO PARA FASCIOLA HEPATICA"|3|1|2|306046|"NULL"
260|256|"COPROPARASITARIO SERIADO PARA ISOSPORA Y SARCOCYSTIS "|4|1|2|306047|"NULL"
261|256|"COPROPARASITOLOGICO SERIADO SIMPLE"|5|1|2|306048|"NULL"
262|256|"DIAGNOSTICO DE PARASITOS EN JUGO DUODENAL Y/O BILIS, EXAMEN"|6|1|2|306049|"NULL"
263|256|"DIAGNOSTICO PARASITARIO EN EXUDADOS, SECRECIONES Y OTROS "|7|1|2|306050|"NULL"
264|256|"GRAHAM, EXAMEN DE (INCLUYE DIAGNOSTICO DE GUSANOS "|8|1|2|306051|"NULL"
265|256|"ESTUDIO DE GUSANOS MACROSCOPICOS "|9|1|2|306052|"NULL"
266|256|"HEMOPARASITOS, DIAGNOSTICO MICROSCOPICO DE (MINIMO 10 "|10|1|2|306053|"NULL"
267|256|"HEMOPARASITOS, DIAGNOSTICO POR TECNICA DE MICROSTROUT O "|11|1|2|306054|"NULL"
268|256|"RASPADO DE PIEL, EXAMEN MICROSCOPICO DE (ACAROTEST): DE 6"|12|1|2|306056|"NULL"
269|256|"COPROPARASITOLOGICO SERIADO SIMPLE"|13|1|2|306059|"NULL"
270|256|"PARASITOS IGG/IGM (CHAGAS, HIDATIDOSIS, TOXOCARIASIS Y "|14|1|2|306061|"NULL"
271|256|"INMUNOFLUORESCENCIA INDIRECTA (TOXOPLASMOSIS, CHAGAS, "|15|1|2|306066|"NULL"
272|256|"PARASITOS: DETERMINACION POR REACCION DE POLIMERASA "|16|1|2|306095|"NULL"
273|256|"PARASITOS: TEST RAPIDO ANTICUERPOS (CHAGAS Y OTROS) "|17|1|2|306096|"NULL"
274|221|"VIRUS"|3|1|1|"NULL"|"NULL"
275|274|"ANTICUERPOS VIRALES, DETERM. "|1|1|2|306069|"NULL"
276|274|"ANTICUERPOS VIRALES, DETERM. DE H.I.V. "|2|1|2|306069|"NULL"
277|274|"ANTIGENOS VIRALES DETERM."|3|1|2|306070|"NULL"
278|274|"ANTIGENOS VIRALES DETERM. DE ROTAVIRUS"|4|1|2|306170|"NULL"
279|274|"ANTIGENOS VIRALES DETERM. DE VIRUS SINCICIAL,"|5|1|2|306270|"NULL"
280|274|"VIRUS HEPATITIS A, ANTICUERPOS IGG, IGM O TOTALES C/U "|6|1|2|306074|"NULL"
281|274|"VIRUS HEPATITIS B, ANTICUERPO DEL ANTIGENO"|7|1|2|306075|"NULL"
282|274|"VIRUS HEPATITIS B, ANTICORE TOTAL DEL (ANTI HBC TOTAL) "|8|1|2|306076|"NULL"
283|274|"VIRUS HEPATITIS B, ANTIGENO E DEL (HBEAG) "|9|1|2|306078|"NULL"
284|274|"VIRUS HEPATITIS B, ANTIGENO DE SUPERFICIE (HBSAG) "|10|1|2|306079|"NULL"
285|274|"VIRUS HEPATITIS B, ANTICORE IGM DEL (ANTI HBC IGM) "|11|1|2|306080|"NULL"
286|274|"VIRUS HEPATITIS C, ANTICUERPOS DE (ANTI HCV) "|12|1|2|306081|"NULL"
287|274|"REACCION DE POLIMERASA EN CADENA (P.C.R.), VIRUS INFLUENZA,"|13|1|2|306082|"NULL"
288|0|"EXAMENES EN EL PACIENTE"|3|1|0|"NULL"|"NULL"
289|2303|"DIETILENDIAMINA TETRAACETATO DE SODIO CROMO (EDTA CR 51) "|1|1|2|307001|"NULL"
290|2303|"PRUEBA DE LA SED"|2|1|2|307002|"NULL"
291|2303|"REACCION CUTANEA DE PARCHE"|3|1|2|307005|"NULL"
292|2303|"SOBRECARGA HIDRICA "|4|1|2|307006|"NULL"
293|2303|"TEST DEL SUDOR"|5|1|2|307007|"NULL"
294|2303|"VASOPRESINA"|6|1|2|307008|"NULL"
295|0|"ORINA"|4|1|0|"NULL"|"NULL"
296|2304|"ACIDO ASCORBICO "|1|1|2|309001|"NULL"
297|2304|"ACIDO DELTA AMINOLEVULINICO "|2|1|2|309002|"NULL"
298|2304|"ACIDO URICO EN ORINA (CUANTITATIVO)"|3|1|2|309004|"NULL"
299|2304|"ACIDO 5 HIDROXIINDOLACETICO CUANTITATIVO "|4|1|2|309005|"NULL"
300|2304|"AMILASA CUANTITATIVA EN ORINA"|5|1|2|309006|"NULL"
301|2304|"AMINOACIDOS EN ORINA"|6|1|2|309007|"NULL"
302|2304|"CALCIO CUANTITATIVO EN ORINA"|7|1|2|309008|"NULL"
303|2304|"CALCULO URINARIO (EXAMEN FISICO Y QUIMICO)"|8|1|2|309009|"NULL"
304|2304|"CREATININA CUANTITATIVA EN ORINA"|9|1|2|309010|"NULL"
305|2304|"CUERPOS CETONICOS "|10|1|2|309011|"NULL"
306|2304|"ELECTROLITOS (SODIO, POTASIO, CLORO)"|11|1|2|309012|"NULL"
307|2304|"MICROALBUMINURIA CUANTITATIVA "|12|1|2|309013|"NULL"
308|2304|"GONADOTROFINA CORIONICA, SUB-UNIDAD BETA"|13|1|2|309014|"NULL"
309|2304|"FOSFORO CUANTITATIVO EN ORINA "|14|1|2|309015|"NULL"
310|2304|"GLUCOSA (CUANTITATIVO), EN ORINA "|15|1|2|309016|"NULL"
311|2304|"HEMOSIDERINA "|16|1|2|309035|"NULL"
312|2304|"HIDROXIPROLINA EN ORINA "|17|1|2|309017|"NULL"
313|2304|"MUCOPOLISACARIDOS "|18|1|2|309019|"NULL"
314|2304|"NITROGENO UREICO O UREA EN ORINA"|19|1|2|309020|"NULL"
315|2304|"NUCLEOTIDOS CICLICOS (CAMP, CGM, U OTROS) "|20|1|2|309021|"NULL"
316|2304|"ORINA COMPLETA"|21|1|2|309022|"NULL"
317|2304|"ORINA, FISICO-QUIMICO"|22|1|2|309023|"NULL"
